trial_index,ratio,std_side,response,keypress,rt_sec,correct
1,0.9,left,0,f,0.6339,1
2,0.9,left,0,f,0.794,1
3,0.9,left,0,f,0.8017,1
4,0.9,right,0,j,0.6028,1
5,0.9,left,0,f,0.9004,1
6,0.9,right,0,j,0.6635,1
7,0.9,left,1,j,0.5326,0
8,0.9,right,0,j,0.5056,1
9,0.9,left,1,j,0.8644,0
10,0.9,left,0,f,0.586,1
11,0.9,left,1,j,0.6575,0
12,0.9,left,0,f,0.4649,1
13,0.95,right,1,f,0.5248,0
14,0.95,left,0,f,1.4419,1
15,0.95,right,0,j,0.641,1
16,0.95,left,0,f,0.4109,1
17,0.95,right,0,j,0.7346,1
18,0.95,left,0,f,0.6948,1
19,0.95,right,1,f,0.6918,0
20,0.95,right,1,f,0.671,0
21,0.95,left,1,j,0.4666,0
22,0.95,left,1,j,0.6717,0
23,0.95,left,0,f,0.7134,1
24,0.95,left,0,f,0.9823,1
25,0.98,left,1,j,0.4516,0
26,0.98,right,0,j,0.8963,1
27,0.98,left,1,j,0.7312,0
28,0.98,left,0,f,0.4996,1
29,0.98,left,1,j,0.6545,0
30,0.98,right,1,f,0.2834,0
31,0.98,left,1,j,1.4102,0
32,0.98,left,1,j,0.5442,0
33,0.98,left,0,f,0.9116,1
34,0.98,right,0,j,0.5401,1
35,0.98,left,0,f,0.7372,1
36,0.98,right,1,f,0.4324,0
37,1.0,right,1,f,0.4601,1
38,1.0,right,1,f,0.6216,1
39,1.0,right,0,j,0.5048,1
40,1.0,left,1,j,0.6964,1
41,1.0,right,1,f,0.39,1
42,1.0,right,1,f,0.7203,1
43,1.0,left,1,j,0.465,1
44,1.0,left,1,j,0.8694,1
45,1.0,left,1,j,0.6269,1
46,1.0,right,0,j,0.7387,1
47,1.0,right,0,j,0.6893,1
48,1.0,left,1,j,0.7073,1
49,1.02,left,1,j,0.2621,1
50,1.02,left,1,j,0.392,1
51,1.02,left,1,j,0.7453,1
52,1.02,left,0,f,0.4425,0
53,1.02,left,1,j,0.4263,1
54,1.02,left,0,f,0.4352,0
55,1.02,right,1,f,0.6102,1
56,1.02,right,1,f,0.3684,1
57,1.02,left,1,j,0.5993,1
58,1.02,left,1,j,0.8402,1
59,1.02,right,1,f,0.8489,1
60,1.02,left,1,j,0.4977,1
61,1.05,left,1,j,0.46,1
62,1.05,left,1,j,0.4291,1
63,1.05,left,1,j,0.8613,1
64,1.05,right,1,f,0.8405,1
65,1.05,right,1,f,0.3768,1
66,1.05,right,1,f,0.6802,1
67,1.05,left,1,j,0.7408,1
68,1.05,left,1,j,0.4549,1
69,1.05,left,1,j,1.0628,1
70,1.05,right,1,f,0.3969,1
71,1.05,right,0,j,0.5475,0
72,1.05,right,1,f,1.0154,1
73,1.1,left,1,j,0.6701,1
74,1.1,right,1,f,0.5163,1
75,1.1,right,1,f,0.7854,1
76,1.1,left,1,j,0.3439,1
77,1.1,right,1,f,0.8228,1
78,1.1,right,0,j,0.5228,0
79,1.1,left,1,j,0.4911,1
80,1.1,right,1,f,0.8242,1
81,1.1,left,1,j,1.0201,1
82,1.1,left,1,j,0.8585,1
83,1.1,left,1,j,0.6714,1
84,1.1,right,1,f,0.6624,1
